code,name,market
2332,クエスト,JQスタンダード
2335,キューブシス,東証1部
2337,いちご,東証1部
2338,Fastep,東証2部
2340,極楽湯HD,JQスタンダード
2341,アルバイトタイ,JQスタンダード
2342,トランス,東証マザーズ
2344,平安レイ,JQスタンダード
2345,アイスタディ,東証2部
2349,エヌアイデイ,JQスタンダード
2351,ASJ,東証マザーズ
2352,エイジア,東証2部
2353,日駐,東証1部
2354,安川情報,東証2部
2359,コア,東証1部
2362,夢真HD,JQスタンダード
2370,MDNT,東証マザーズ
2371,カカクコム,東証1部
2372,アイロムG,東証1部
2373,ケア21,JQスタンダード
2374,セントケアHD,東証1部
2375,スリープロ,東証2部
2376,サイネックス,東証1部
2378,ルネサンス,東証1部
2379,ディップ,東証1部
2384,SBSHD,東証1部
2385,総医研,東証マザーズ
2388,ウェッジHD,JQグロース
2389,オプトHD,東証1部
2391,プラネット,JQスタンダード
2393,日本ケア,東証2部
2395,新日科学,東証1部
2397,DNAチップ,東証2部
2398,ツクイ,東証1部
2402,アマナ,東証マザーズ
2404,鉄人化,東証2部
2405,FUJIKOH,東証2部
2406,アルテHD,JQスタンダード
2408,KG情報,JQスタンダード
2410,キャリアDC,東証1部
2411,ゲンダイAG,JQスタンダード
2412,ベネ･ワン,東証2部
2413,エムスリー,東証1部
2415,ヒューマンHD,JQスタンダード
2417,ツヴァイ,東証2部
2418,ツカダGHD,東証1部
2424,ブラス,東証マザーズ
2425,ケアサービス,JQグロース
2427,アウトソシング,東証1部
2428,ウェルネット,東証1部
2429,ワールドHD,東証1部
2432,DeNA,東証1部
2433,博報堂DY,東証1部
2435,シダー,JQスタンダード
2436,共同PR,JQスタンダード
2437,シンワアート,JQスタンダード
2438,アスカネット,東証マザーズ
2440,ぐるなび,東証1部
2445,SRGタカミヤ,東証1部
2449,プラップJ,JQスタンダード
2452,CMIND,東証TPM
2453,JBR,東証1部
2454,オールアバウト,JQスタンダード
2458,夢テクノロジ,JQスタンダード
2459,アウンコンサル,東証2部
2461,ファンコミ,東証1部
2462,ライク,東証1部
2464,BBT,東証1部
2468,フュートレック,東証2部
2469,ヒビノ,JQスタンダード
2471,エスプール,JQスタンダード
2475,WDB,東証1部
2477,比較.com,東証マザーズ
2479,ジェイテック,JQグロース
2480,シスロケ,JQスタンダード
2481,タウンニュース,JQスタンダード
2483,翻訳センター,JQスタンダード
2484,夢の街,JQスタンダード
2485,ティア,東証1部
2487,CDG,東証2部
2488,日本サード,JQスタンダード
2489,アドウェイズ,東証マザーズ
2491,Vコマース,東証1部
2492,インフォマート,東証1部
2493,イーサポート,JQスタンダード
2497,UNITED,東証マザーズ
2498,ACKG,JQスタンダード
2499,日本和装,東証2部
2501,サッポロHD,東証1部
2501,サッポロHD,札証
2502,アサヒ,東証1部
2503,キリンHD,東証1部
2503,キリンHD,札証
2503,キリンHD,福証
2531,宝HD,東証1部
2533,オエノンHD,東証1部
2538,JFLA,東証2部
2540,養命酒,東証1部
2573,北海コカ,東証2部
2573,北海コカ,札証
2579,コカウエスト,東証1部
2579,コカウエスト,福証
2580,コカ･コーラEJ,東証1部
2586,フルッタフルッタ,東証マザーズ
2587,サントリーBF,東証1部
2588,Pウォーター,東証2部
2590,ダイドドリ,東証1部
2593T,伊藤園1P,東証1部
2593,伊藤園,東証1部
2594,キーコーヒー,東証1部
2597,ユニカフェ,東証1部
2599,ジャパンF,東証1部
2602,日清オイリオ,東証1部
2607,不二製油,東証1部
2608,ボーソー,東証2部
2611,攝津油,東証2部
2612,かどや,東証1部
2613,Jオイル,東証1部
2651,ローソン,東証1部
2652,マンダラケ,東証2部
2653,イオン九州,JQスタンダード
2654,アスモ,東証2部
2655,MV東北,東証2部
2656,ベクター,JQスタンダード
2659,サンエー,東証1部
2664,カワチ薬品,東証1部
2666,オートウェーブ,JQスタンダード
2667,イメージワン,JQスタンダード
2668,タビオ,東証2部
2669,カネ美食品,JQスタンダード
2670,ABCマート,東証1部
2673,夢隊,JQスタンダード
2674,ハードオフ,東証1部
2675,ダイナック,東証2部
2676,高千穂交,東証1部
2678,アスクル,東証1部
2681,ゲオHD,東証1部
2683,魚喜,東証2部
2685,アダストリア,東証1部
2686,ジーフット,東証1部
2687,シーヴイエス,東証1部
2689,カワニシHD,東証2部
2692,伊藤忠食,東証1部
2693,YKT,JQスタンダード
2694,Gテイスト,JQスタンダード
2695,くらコーポ,東証1部
2698,キャンドゥ,東証1部
2700,木徳神糧,JQスタンダード
2702,マクドナルド,JQスタンダード
2703,日本ライトン,JQスタンダード
2705,大戸屋HD,JQスタンダード
2706,ブロッコリー,JQスタンダード
2708,久世,JQスタンダード
2714,プラマテルズ,JQスタンダード
2715,エレマテック,東証1部
2719,キタムラ,東証2部
2721,JHD,JQスタンダード
2722,アイケイ,JQスタンダード
2726,パルGHD,東証1部
2729,JALUX,東証1部
2730,エディオン,東証1部
2733,あらた,東証1部
2734,サーラ,東証1部
2735,ワッツ,東証1部
2736,サダマツ,JQスタンダード
2737,トーメンデバ,東証1部
2742,ハローズ,東証1部
2743,ピクセル,JQスタンダード
2747,北雄ラッキー,JQスタンダード
2749,JPHD,東証1部
2750,石光商事,JQスタンダード
2751,テンポス,JQスタンダード
2752,フジオフード,JQスタンダード
2753,あみやき,東証1部
2754,東葛HD,JQスタンダード
2760,東エレデバ,東証1部
2761,トシンG,JQスタンダード
2762,三光MF,東証2部
2763,エフティG,JQスタンダード
2764,ひらまつ,東証1部
2767,フィールズ,東証1部
2768,双日,東証1部
2769,ヴィレッジV,JQスタンダード
2772,ゲンキー,東証1部
2773,ミューチュアル,JQスタンダード
2776,クリムゾン,JQスタンダード
2777,カッシーナ,JQスタンダード
2778,パレモ,JQスタンダード
2780,コメ兵,東証2部
2782,セリア,JQスタンダード
2784,アルフレッサHD,東証1部
2788,アップル,東証2部
2789,カルラ,JQスタンダード
2790,ナフコ,JQスタンダード
2791,大黒天,東証1部
2792,ハニーズ,東証1部
2795,プリメックス,JQスタンダード
2796,ファーマライズ,東証1部
2798,Y’S,東証2部
2801,キッコーマン,東証1部
2802,味の素,東証1部
2804,ブルドック,東証2部
2805,エスビー,東証2部
2806,ユタカフーズ,東証2部
2809,キユーピー,東証1部
2810,ハウス食G,東証1部
2811,カゴメ,東証1部
2812,焼津水,東証1部
2813,和弘食,JQスタンダード
2814,佐藤食,JQスタンダード
2815,アリアケ,東証1部
2816,ダイショー,東証2部
2818,ピエトロ,東証1部
2819,エバラ食品,東証1部
2820,やまみ,JQスタンダード
2830,アヲハタ,東証2部
2831,はごろも,東証2部
2871,ニチレイ,東証1部
2872,セイヒョー,東証2部
2874,ヨコレイ,東証1部
2875,東洋水産,東証1部
2876,JCコムサ,JQスタンダード
2877,日東ベスト,JQスタンダード
2882,イートアンド,東証1部
2883,大冷,東証1部
2884,ヨシムラフード,東証マザーズ
2892,日食品,東証2部
2894,石井食,東証2部
2897,日清食HD,東証1部
2899,永谷園HD,東証1部
2901,石垣食,JQスタンダード
2903,シノブフース,東証2部
